,name,salary,addr,time,limit,company,type,vip,page
181,iOS开发工程师,10k-20k,南山区,2018-07-11 15:47:32,本科、1-3年,深圳中博网络技术有限公司,未融资、移动互联网,"六险一金,鹅场大神,高配团队,海外手游",18
182,iOS 开发实习生,4k-6k,南山区,2018-07-11 15:17:32,本科、应届毕业生,深圳格隆汇信息科技有限公司,"A轮、社交网络,金融","扁平管理,团队氛围好,急速入职",18
183,iOS开发经理,20k-40k,南山区,2018-07-11 14:17:57,本科、应届毕业生,广东俊特团贷网络信息服务股份有限公司,"C轮、移动互联网,金融","top10,班车,福利棒,空间大",18
184,iOS软件开发工程师,2k-4k,龙岗区,2018-07-11 14:10:20,本科、1-3年,深圳市慧佳鼎云科技有限公司,"未融资、移动互联网,硬件",iOS系统,18
185,iOS,5k-10k,宝安区,2018-07-11 13:36:57,不限、不限,深圳市艺界都市网络科技有限公司,"未融资、移动互联网,游戏","五险一金,下午茶,项目奖金",18
186,IOS开发工程师,10k-15k,南山区,2018-07-11 13:24:48,大专、1-3年,深圳市思迪信息技术股份有限公司,"B轮、移动互联网,金融","六险一金,弹性上班,福利",18
187,移动开发工程师（iOS）,14k-20k,福田区,2018-07-11 13:16:36,本科、3-5年,迅兴商业保理（深圳）有限公司,不需要融资、金融,"iOS系统,产品分析,开发设计,调试工作",18
188,Ios开发实习生,3k-4k,福田区,2018-07-11 13:04:10,大专、不限,深圳市飞码信息技术有限公司,不需要融资、移动互联网,Ios实习,18
189,iOS开发工程师,20k-25k,宝安区,2018-07-11 11:39:57,大专、5-10年,深圳市正集源网络科技有限公司,"未融资、移动互联网,硬件","自由,阳光",18
190,IOS开发工程师,15k-25k,南山区,2018-07-11 11:11:25,本科、3-5年,大地零一（深圳）科技有限公司,"不需要融资、移动互联网,数据服务","扁平化管理,晋升机制",18
191,高级 iOS开发工程师,15k-30k,南山区,2018-07-11 11:04:16,本科、3-5年,深圳无觅科技有限公司,"B轮、移动互联网,金融","高速发展,团队优秀,待遇丰厚,快速成长",18
192,ios开发工程师,15k-30k,南山区,2018-07-11 10:49:08,本科、1-3年,深圳闻善科技有限公司,"不需要融资、移动互联网,硬件","一线互联网,薪资福利好,技术大牛多,团队氛围好",18
193,iOS,9k-15k,南山区,2018-07-11 10:18:32,大专、3-5年,深圳市瑞尚科技有限公司,"不需要融资、移动互联网,企业服务",福利待遇，专项奖金,18
194,IOS开发工程师,8k-10k,宝安区,2018-07-11 10:10:31,本科、3-5年,深圳市小瑞科技股份有限公司,"上市公司、移动互联网,其他",五险一金,18
195,iOS高级开发工程师,15k-30k,南山区,2018-07-11 14:17:56,大专、1-3年,广东俊特团贷网络信息服务股份有限公司,"C轮、移动互联网,金融",TOP10、空间大、福利棒、培训多元,19
196,IOS开发工程师,15k-30k,南山区,2018-07-11 11:04:15,本科、5-10年,深圳无觅科技有限公司,"B轮、移动互联网,金融","高速发展,团队优秀,待遇丰厚,快速成长",19
